file,BL_P,BL_N,BL_NET,BL_SENTIMENT,M_P,M_N,M_NET,M_SENTIMENT,M_UNCERTAINTY,M_LITIGIOUS,M_CONSTRAINING,M_SUPERFLUOUS,M_INTERESTING,M_MODAL
1473 - TOTAL SYSTEM SERVICES INC.txt,15718,13989,1729,POSITIVE,5927,8264,-2337,NEGATIVE,3215,3403,3107,51,800,2176
1474 - TRACTOR SUPPLY CO  DE.txt,15818,14079,1739,POSITIVE,5961,8302,-2341,NEGATIVE,3230,3424,3135,51,806,2192
1475 - TRAVELCENTERS OF AMERICA LLC.txt,15885,14134,1751,POSITIVE,5987,8325,-2338,NEGATIVE,3241,3434,3144,51,807,2200
1476 - TRAVELZOO INC.txt,15949,14189,1760,POSITIVE,6005,8349,-2344,NEGATIVE,3259,3449,3154,52,811,2210
"1478 - TRI Pointe Homes, Inc..txt",16022,14258,1764,POSITIVE,6037,8377,-2340,NEGATIVE,3274,3463,3170,52,814,2222
1480 - TRIMBLE NAVIGATION LTD  CA.txt,16091,14325,1766,POSITIVE,6058,8406,-2348,NEGATIVE,3293,3486,3185,52,817,2236
1482 - TRUSTMARK CORP.txt,16225,14461,1764,POSITIVE,6099,8505,-2406,NEGATIVE,3321,3530,3213,52,826,2254
1487 - TYLER TECHNOLOGIES INC.txt,16332,14540,1792,POSITIVE,6140,8549,-2409,NEGATIVE,3346,3552,3224,52,831,2267
1490 - Terreno Realty Corp.txt,16406,14597,1809,POSITIVE,6166,8568,-2402,NEGATIVE,3357,3569,3238,52,833,2275
1493 - Third Point Reinsurance Ltd..txt,16489,14665,1824,POSITIVE,6199,8597,-2398,NEGATIVE,3366,3582,3252,52,837,2281
1500 - Transocean Ltd..txt,16700,14859,1841,POSITIVE,6273,8740,-2467,NEGATIVE,3408,3655,3296,53,849,2303
"1504 - Triumph Bancorp, Inc..txt",16708,14868,1840,POSITIVE,6275,8743,-2468,NEGATIVE,3408,3656,3302,53,849,2303
"1505 - Tropicana Las Vegas Hotel & Casino, Inc..txt",16736,14898,1838,POSITIVE,6289,8749,-2460,NEGATIVE,3416,3658,3310,53,850,2311
1509 - UMPQUA HOLDINGS CORP.txt,16934,15078,1856,POSITIVE,6359,8873,-2514,NEGATIVE,3459,3717,3353,54,857,2340
151-American Electric Technologies Inc.txt,16980,15121,1859,POSITIVE,6376,8887,-2511,NEGATIVE,3468,3719,3365,54,858,2346
1516 - UNITED FIRE GROUP INC.txt,17075,15208,1867,POSITIVE,6420,8933,-2513,NEGATIVE,3486,3741,3383,55,863,2359
1520 - UNITED STATES LIME & MINERALS INC.txt,17141,15255,1886,POSITIVE,6445,8956,-2511,NEGATIVE,3496,3755,3391,55,865,2367
1521 - UNITED STATES STEEL CORP.txt,17272,15366,1906,POSITIVE,6503,9029,-2526,NEGATIVE,3522,3782,3420,55,872,2381
1525 - UNIVERSAL FOREST PRODUCTS INC.txt,17318,15429,1889,POSITIVE,6519,9055,-2536,NEGATIVE,3537,3789,3435,55,874,2391
1528 - URSTADT BIDDLE PROPERTIES INC.txt,17404,15501,1903,POSITIVE,6552,9089,-2537,NEGATIVE,3557,3800,3449,55,879,2400
1530 - US CONCRETE INC.txt,17508,15583,1925,POSITIVE,6591,9137,-2546,NEGATIVE,3572,3820,3461,55,882,2414
1531 - USANA HEALTH SCIENCES INC.txt,17589,15643,1946,POSITIVE,6621,9166,-2545,NEGATIVE,3584,3844,3469,55,886,2426
1532 - UTAH MEDICAL PRODUCTS INC.txt,17674,15700,1974,POSITIVE,6657,9193,-2536,NEGATIVE,3598,3856,3477,56,889,2441
1535 - Uni-Pixel.txt,17720,15728,1992,POSITIVE,6676,9200,-2524,NEGATIVE,3601,3860,3481,56,890,2444
"1537 - United Financial Bancorp, Inc..txt",17854,15821,2033,POSITIVE,6724,9247,-2523,NEGATIVE,3622,3883,3499,56,900,2460
1539 - V F CORP.txt,17956,15916,2040,POSITIVE,6764,9303,-2539,NEGATIVE,3649,3902,3526,56,906,2478
1549 - VCA INC.txt,18076,16030,2046,POSITIVE,6813,9395,-2582,NEGATIVE,3674,3941,3550,57,918,2492
1550 - VECTREN CORP.txt,18184,16128,2056,POSITIVE,6853,9462,-2609,NEGATIVE,3693,3962,3570,58,923,2503
"1566 - Vectrus, Inc..txt",18292,16220,2072,POSITIVE,6889,9516,-2627,NEGATIVE,3712,3983,3591,58,926,2517
1567 - Vericel Corp.txt,18353,16261,2092,POSITIVE,6907,9532,-2625,NEGATIVE,3721,3990,3594,58,927,2527
1569 - Viacom Inc..txt,18480,16362,2118,POSITIVE,6961,9596,-2635,NEGATIVE,3740,4015,3626,58,933,2543
1570 - Vulcan Materials CO.txt,18603,16471,2132,POSITIVE,7008,9650,-2642,NEGATIVE,3760,4038,3647,59,940,2555
1572 - W&T OFFSHORE INC.txt,18703,16556,2147,POSITIVE,7048,9697,-2649,NEGATIVE,3775,4064,3667,59,944,2569
1575 - WALT DISNEY CO.txt,18836,16666,2170,POSITIVE,7104,9758,-2654,NEGATIVE,3804,4085,3691,59,951,2586
1579 - WASTE MANAGEMENT INC.txt,18971,16776,2195,POSITIVE,7156,9836,-2680,NEGATIVE,3827,4120,3720,60,957,2604
1580 - WATTS WATER TECHNOLOGIES INC.txt,19084,16874,2210,POSITIVE,7194,9908,-2714,NEGATIVE,3852,4142,3747,60,961,2620
1587 - WEST BANCORPORATION INC.txt,19166,16951,2215,POSITIVE,7225,9950,-2725,NEGATIVE,3869,4159,3768,60,965,2637
1589 - WESTAMERICA BANCORPORATION.txt,19256,17030,2226,POSITIVE,7262,10001,-2739,NEGATIVE,3885,4187,3781,60,969,2648
1597 - WHIRLPOOL CORP  DE.txt,19376,17122,2254,POSITIVE,7317,10056,-2739,NEGATIVE,3902,4205,3803,60,974,2662
1598 - WILSON BANK HOLDING CO.txt,19442,17185,2257,POSITIVE,7342,10084,-2742,NEGATIVE,3909,4227,3814,60,981,2669
16-ABM INDUSTRIES INC  DE.txt,19569,17299,2270,POSITIVE,7390,10157,-2767,NEGATIVE,3928,4257,3840,60,987,2688
160-Avery Dennison Corp.txt,19706,17434,2272,POSITIVE,7443,10256,-2813,NEGATIVE,3955,4299,3869,61,994,2702
"1600 - WINDSTREAM HOLDINGS, INC..txt",19816,17549,2267,POSITIVE,7482,10316,-2834,NEGATIVE,3977,4323,3893,61,1000,2716
1601 - WINMARK CORP.txt,19865,17588,2277,POSITIVE,7497,10332,-2835,NEGATIVE,3985,4330,3902,61,1001,2722
1605 - WOLVERINE WORLD WIDE INC  DE.txt,19962,17675,2287,POSITIVE,7537,10384,-2847,NEGATIVE,4011,4343,3931,62,1005,2740
1606 - WORLD WRESTLING ENTERTAINMENTINC.txt,20071,17771,2300,POSITIVE,7574,10438,-2864,NEGATIVE,4034,4367,3957,62,1011,2761
"1609 - Walter Energy, Inc..txt",20187,17881,2306,POSITIVE,7619,10513,-2894,NEGATIVE,4059,4386,3984,62,1016,2778
"1611 - Waterstone Financial, Inc..txt",20242,17926,2316,POSITIVE,7637,10526,-2889,NEGATIVE,4071,4395,3991,62,1018,2786
1616 - Whitestone REIT.txt,20332,18005,2327,POSITIVE,7667,10565,-2898,NEGATIVE,4085,4408,4001,62,1022,2802
1617 - XL GROUP PLC.txt,20467,18101,2366,POSITIVE,7742,10623,-2881,NEGATIVE,4104,4431,4024,62,1028,2812
1627 - ZIMMER HOLDINGS INC.txt,20580,18205,2375,POSITIVE,7791,10677,-2886,NEGATIVE,4123,4458,4046,63,1036,2827
167-BALL CORP.txt,20581,18206,2375,POSITIVE,7792,10678,-2886,NEGATIVE,4123,4458,4046,63,1036,2827
169-BANK MUTUAL CORP.txt,20686,18300,2386,POSITIVE,7828,10724,-2896,NEGATIVE,4150,4482,4068,63,1043,2847
170-BANK OF AMERICA CORP  DE.txt,20789,18387,2402,POSITIVE,7873,10776,-2903,NEGATIVE,4171,4512,4084,63,1047,2855
171-BANK OF HAWAII CORP.txt,20906,18497,2409,POSITIVE,7917,10834,-2917,NEGATIVE,4187,4530,4107,63,1051,2871
18-ACCURIDE CORP.txt,20979,18568,2411,POSITIVE,7947,10873,-2926,NEGATIVE,4203,4543,4120,63,1052,2883
182-BCB BANCORP INC.txt,21045,18628,2417,POSITIVE,7968,10907,-2939,NEGATIVE,4219,4555,4136,63,1053,2898
183-BEACON ROOFING SUPPLY INC.txt,21135,18698,2437,POSITIVE,7998,10932,-2934,NEGATIVE,4234,4573,4151,63,1057,2908
184-BEMIS CO INC.txt,21225,18774,2451,POSITIVE,8028,10965,-2937,NEGATIVE,4250,4587,4171,64,1060,2924
185-BERKSHIRE HATHAWAY INC.txt,21238,18791,2447,POSITIVE,8033,10974,-2941,NEGATIVE,4253,4587,4173,64,1060,2930
192-BLACK HILLS CORP  SD.txt,21340,18874,2466,POSITIVE,8073,11019,-2946,NEGATIVE,4268,4608,4188,64,1067,2942
206-BOSTON PRIVATE FINANCIAL HOLDINGS INC.txt,21449,18959,2490,POSITIVE,8123,11066,-2943,NEGATIVE,4288,4628,4210,64,1074,2953
210-BRIGHT HORIZONS FAMILY SOLUTIONS INC..txt,21526,19021,2505,POSITIVE,8143,11089,-2946,NEGATIVE,4298,4640,4222,64,1078,2963
211-BRINKS CO.txt,21621,19116,2505,POSITIVE,8182,11148,-2966,NEGATIVE,4323,4661,4236,64,1087,2981
212-BRISTOL MYERS SQUIBB CO.txt,21773,19230,2543,POSITIVE,8247,11224,-2977,NEGATIVE,4354,4693,4258,64,1099,3000
213-BROADCOM CORP.txt,21909,19333,2576,POSITIVE,8298,11303,-3005,NEGATIVE,4388,4718,4288,65,1108,3024
221-BRT REALTY TRUST.txt,21993,19407,2586,POSITIVE,8324,11347,-3023,NEGATIVE,4406,4734,4303,65,1114,3038
223-BRYN MAWR BANK CORP.txt,22113,19502,2611,POSITIVE,8367,11389,-3022,NEGATIVE,4428,4763,4317,66,1123,3051
237-Bourbon Brothers Holding Corp.txt,22140,19533,2607,POSITIVE,8380,11394,-3014,NEGATIVE,4435,4768,4322,66,1123,3055
"238-Bravo Brio Restaurant Group, Inc..txt",22143,19543,2600,POSITIVE,8381,11401,-3020,NEGATIVE,4435,4769,4323,66,1123,3056
"24-ADAMS RESOURCES _ ENERGY, INC..txt",22187,19596,2591,POSITIVE,8391,11425,-3034,NEGATIVE,4447,4785,4336,66,1125,3064
"244-C1 Financial, Inc..txt",22208,19624,2584,POSITIVE,8396,11438,-3042,NEGATIVE,4448,4789,4348,67,1125,3067
245-CABOT CORP.txt,22336,19719,2617,POSITIVE,8450,11498,-3048,NEGATIVE,4470,4814,4367,68,1131,3084
246-CABOT MICROELECTRONICS CORP.txt,22457,19815,2642,POSITIVE,8491,11556,-3065,NEGATIVE,4498,4846,4384,68,1134,3105
251-CALPINE CORP.txt,22568,19908,2660,POSITIVE,8534,11613,-3079,NEGATIVE,4524,4869,4407,68,1139,3118
253-CAMDEN NATIONAL CORP.txt,22605,19931,2674,POSITIVE,8542,11625,-3083,NEGATIVE,4529,4872,4409,68,1141,3122
258-CAPITAL ONE FINANCIAL CORP.txt,22737,20032,2705,POSITIVE,8593,11694,-3101,NEGATIVE,4553,4901,4433,69,1148,3139
26-ADOBE SYSTEMS INC.txt,22867,20141,2726,POSITIVE,8645,11756,-3111,NEGATIVE,4584,4928,4456,69,1156,3159
262-CARLISLE COMPANIES INC.txt,22958,20229,2729,POSITIVE,8686,11804,-3118,NEGATIVE,4605,4948,4480,69,1163,3172
268-CASS INFORMATION SYSTEMS INC.txt,23049,20307,2742,POSITIVE,8723,11843,-3120,NEGATIVE,4615,4969,4491,69,1168,3181
27-ADT Corp.txt,23158,20404,2754,POSITIVE,8768,11893,-3125,NEGATIVE,4638,4984,4513,70,1177,3198
270-CBL _ ASSOCIATES PROPERTIES INC.txt,23274,20487,2787,POSITIVE,8816,11947,-3131,NEGATIVE,4653,5012,4531,71,1181,3211
"272-CEDAR REALTY TRUST, INC..txt",23377,20561,2816,POSITIVE,8852,11990,-3138,NEGATIVE,4668,5027,4548,71,1185,3222
273-CENTENE CORP.txt,23478,20659,2819,POSITIVE,8885,12044,-3159,NEGATIVE,4686,5056,4577,71,1190,3239
276-CENTRAL PACIFIC FINANCIAL CORP.txt,23547,20705,2842,POSITIVE,8913,12067,-3154,NEGATIVE,4700,5066,4591,71,1190,3248
279-CEPHEID.txt,23651,20827,2824,POSITIVE,8949,12140,-3191,NEGATIVE,4727,5113,4613,71,1195,3263
28-ADVANCED ENERGY INDUSTRIES INC.txt,23741,20898,2843,POSITIVE,8981,12169,-3188,NEGATIVE,4744,5132,4625,71,1198,3274
284-CHARLES RIVER LABORATORIES INTERNATIONAL INC.txt,23884,21009,2875,POSITIVE,9043,12245,-3202,NEGATIVE,4776,5153,4657,72,1207,3291
"287-CHARTER COMMUNICATIONS, INC.  MO .txt",23974,21096,2878,POSITIVE,9080,12297,-3217,NEGATIVE,4807,5170,4671,72,1215,3306
288-CHEMICAL FINANCIAL CORP.txt,24004,21129,2875,POSITIVE,9090,12303,-3213,NEGATIVE,4813,5172,4676,72,1216,3312
289-CHEMUNG FINANCIAL CORP.txt,24071,21196,2875,POSITIVE,9116,12332,-3216,NEGATIVE,4829,5187,4691,72,1220,3325
291-CHICAGO BRIDGE _ IRON CO N V.txt,24156,21283,2873,POSITIVE,9147,12373,-3226,NEGATIVE,4846,5206,4713,73,1224,3341
"294-CHINA JO-JO DRUGSTORES, INC..txt",24189,21302,2887,POSITIVE,9159,12384,-3225,NEGATIVE,4848,5206,4716,73,1224,3343
295-CHIPOTLE MEXICAN GRILL INC.txt,24220,21333,2887,POSITIVE,9170,12400,-3230,NEGATIVE,4851,5207,4718,73,1225,3350
298-CHUBB CORP.txt,24340,21445,2895,POSITIVE,9219,12463,-3244,NEGATIVE,4875,5229,4742,74,1231,3365
300-CHURCHILL DOWNS INC.txt,24424,21515,2909,POSITIVE,9253,12494,-3241,NEGATIVE,4887,5250,4754,74,1234,3374
303-CINCINNATI BELL INC.txt,24540,21607,2933,POSITIVE,9293,12557,-3264,NEGATIVE,4916,5280,4775,74,1240,3390
310-CITIZENS FINANCIAL SERVICES INC.txt,24625,21667,2958,POSITIVE,9326,12581,-3255,NEGATIVE,4926,5295,4785,74,1245,3399
312-CITY HOLDING CO.txt,24719,21753,2966,POSITIVE,9358,12626,-3268,NEGATIVE,4940,5316,4805,74,1249,3414
317-CLEVELAND BIOLABS INC.txt,24816,21868,2948,POSITIVE,9388,12693,-3305,NEGATIVE,4964,5352,4821,74,1262,3430
318-CLOUD PEAK ENERGY INC..txt,24926,21986,2940,POSITIVE,9423,12776,-3353,NEGATIVE,4984,5384,4851,74,1273,3446
319-CMS ENERGY CORP.txt,25025,22073,2952,POSITIVE,9454,12823,-3369,NEGATIVE,5003,5407,4874,74,1277,3460
320-CNA FINANCIAL CORP.txt,25101,22134,2967,POSITIVE,9484,12853,-3369,NEGATIVE,5016,5422,4893,74,1282,3472
321-CNB FINANCIAL CORP PA.txt,25181,22209,2972,POSITIVE,9508,12894,-3386,NEGATIVE,5032,5438,4905,74,1290,3487
323-COBIZ FINANCIAL INC.txt,25280,22306,2974,POSITIVE,9551,12944,-3393,NEGATIVE,5052,5456,4933,75,1297,3501
324-COCA COLA BOTTLING CO CONSOLIDATED  DE.txt,25368,22374,2994,POSITIVE,9579,12977,-3398,NEGATIVE,5067,5468,4950,75,1303,3513
327-COFFEE HOLDING CO INC.txt,25377,22385,2992,POSITIVE,9581,12980,-3399,NEGATIVE,5067,5471,4951,75,1303,3513
"328-COGENT COMMUNICATIONS HOLDINGS, INC..txt",25452,22447,3005,POSITIVE,9611,12997,-3386,NEGATIVE,5077,5480,4960,75,1304,3525
329-COGNEX CORP.txt,25521,22500,3021,POSITIVE,9634,13026,-3392,NEGATIVE,5088,5489,4966,76,1308,3538
33-AECOM.txt,25589,22545,3044,POSITIVE,9670,13043,-3373,NEGATIVE,5097,5496,4976,76,1310,3544
330-COHEN _ STEERS INC.txt,25667,22630,3037,POSITIVE,9695,13093,-3398,NEGATIVE,5114,5515,4996,78,1312,3557
335-COHERENT INC.txt,25748,22715,3033,POSITIVE,9718,13136,-3418,NEGATIVE,5139,5544,5019,78,1315,3570
336-COLGATE PALMOLIVE CO.txt,25852,22795,3057,POSITIVE,9754,13185,-3431,NEGATIVE,5159,5563,5036,79,1318,3588
34-AEP INDUSTRIES INC.txt,25950,22891,3059,POSITIVE,9783,13242,-3459,NEGATIVE,5181,5586,5060,79,1325,3601
342.COMERICA INC  NEW.txt,26095,23019,3076,POSITIVE,9838,13338,-3500,NEGATIVE,5211,5623,5087,79,1336,3623
346-COMPASS MINERALS INTERNATIONAL INC.txt,26207,23117,3090,POSITIVE,9884,13394,-3510,NEGATIVE,5234,5650,5113,80,1338,3638
"346-PASSUR Aerospace, Inc..txt",26229,23136,3093,POSITIVE,9894,13405,-3511,NEGATIVE,5236,5651,5113,80,1340,3641
348-CONNECTICUT WATER SERVICE INC   CT.txt,26275,23172,3103,POSITIVE,9909,13415,-3506,NEGATIVE,5243,5657,5117,80,1342,3645
350-CONSOL Energy Inc.txt,26375,23270,3105,POSITIVE,9949,13473,-3524,NEGATIVE,5263,5690,5140,80,1347,3656
354-COOPER COMPANIES INC.txt,26472,23344,3128,POSITIVE,9986,13512,-3526,NEGATIVE,5284,5709,5157,80,1353,3672
356-CORE LABORATORIES N V.txt,26583,23433,3150,POSITIVE,10035,13558,-3523,NEGATIVE,5303,5730,5178,81,1358,3686
359-CORPORATE OFFICE PROPERTIES TRUST.txt,26700,23520,3180,POSITIVE,10086,13604,-3518,NEGATIVE,5324,5761,5213,81,1362,3703
361-COTT CORP  CN.txt,26826,23617,3209,POSITIVE,10127,13669,-3542,NEGATIVE,5353,5791,5233,81,1366,3721
364-COVANTA HOLDING CORP.txt,26984,23744,3240,POSITIVE,10194,13758,-3564,NEGATIVE,5383,5832,5258,83,1372,3735
365-CPS TECHNOLOGIES CORP DE.txt,27051,23807,3244,POSITIVE,10224,13791,-3567,NEGATIVE,5395,5855,5276,83,1374,3746
369-CROWN HOLDINGS INC.txt,27142,23893,3249,POSITIVE,10262,13835,-3573,NEGATIVE,5414,5879,5293,83,1382,3759
37-AES CORP.txt,27190,23949,3241,POSITIVE,10278,13862,-3584,NEGATIVE,5424,5885,5304,83,1382,3767
371-CSX CORP.txt,27328,24102,3226,POSITIVE,10338,13975,-3637,NEGATIVE,5460,5918,5341,84,1390,3786
"374-CULLEN FROST BANKERS, INC..txt",27455,24216,3239,POSITIVE,10391,14040,-3649,NEGATIVE,5485,5946,5360,85,1396,3802
375-CUMMINS INC.txt,27579,24309,3270,POSITIVE,10440,14096,-3656,NEGATIVE,5507,5971,5382,85,1402,3818
38-AFFYMETRIX INC.txt,27679,24399,3280,POSITIVE,10489,14148,-3659,NEGATIVE,5525,5987,5399,85,1408,3829
380-CYTEC INDUSTRIES INC DE.txt,27805,24511,3294,POSITIVE,10539,14219,-3680,NEGATIVE,5556,6012,5427,85,1414,3843
383-Caesars Acquisition Co.txt,27815,24539,3276,POSITIVE,10541,14231,-3690,NEGATIVE,5560,6013,5435,85,1414,3844
389-Catamaran Corp.txt,27930,24614,3316,POSITIVE,10588,14266,-3678,NEGATIVE,5580,6034,5458,85,1420,3858
390-Celanese Corp.txt,28056,24722,3334,POSITIVE,10641,14324,-3683,NEGATIVE,5593,6056,5481,85,1424,3873
"391-CenterState Banks, Inc..txt",28139,24810,3329,POSITIVE,10663,14378,-3715,NEGATIVE,5605,6075,5509,85,1431,3884
"396-Childrens Place, Inc..txt",28240,24904,3336,POSITIVE,10709,14428,-3719,NEGATIVE,5619,6087,5525,86,1436,3900
"400-Civitas Solutions, Inc..txt",28316,24993,3323,POSITIVE,10740,14475,-3735,NEGATIVE,5635,6112,5539,87,1440,3911
421.txt,28402,25062,3340,POSITIVE,10768,14509,-3741,NEGATIVE,5658,6127,5554,87,1446,3925
423.txt,28497,25143,3354,POSITIVE,10793,14554,-3761,NEGATIVE,5672,6151,5578,87,1452,3934
43-AGILENT TECHNOLOGIES INC.txt,28602,25247,3355,POSITIVE,10833,14618,-3785,NEGATIVE,5697,6169,5604,87,1459,3947
437.txt,28668,25297,3371,POSITIVE,10854,14651,-3797,NEGATIVE,5702,6188,5616,87,1460,3955
438.txt,28722,25338,3384,POSITIVE,10879,14663,-3784,NEGATIVE,5706,6192,5620,87,1460,3962
44-AGL RESOURCES INC.txt,28840,25425,3415,POSITIVE,10920,14715,-3795,NEGATIVE,5732,6219,5649,87,1465,3973
440.txt,28959,25515,3444,POSITIVE,10968,14760,-3792,NEGATIVE,5749,6242,5678,87,1471,3990
459.txt,29079,25632,3447,POSITIVE,11012,14828,-3816,NEGATIVE,5771,6268,5710,87,1476,4008
464.txt,29159,25714,3445,POSITIVE,11032,14870,-3838,NEGATIVE,5786,6283,5727,87,1482,4018
473.txt,29304,25827,3477,POSITIVE,11096,14948,-3852,NEGATIVE,5812,6310,5754,88,1486,4036
474.txt,29410,25911,3499,POSITIVE,11128,14991,-3863,NEGATIVE,5830,6340,5779,88,1493,4047
475.txt,29506,26011,3495,POSITIVE,11163,15055,-3892,NEGATIVE,5847,6366,5794,89,1498,4057
476.txt,29528,26043,3485,POSITIVE,11165,15064,-3899,NEGATIVE,5853,6367,5801,89,1499,4062
478.txt,29624,26136,3488,POSITIVE,11198,15114,-3916,NEGATIVE,5885,6390,5821,89,1506,4080
479.txt,29736,26216,3520,POSITIVE,11254,15158,-3904,NEGATIVE,5902,6413,5837,89,1509,4095
481.txt,29818,26294,3524,POSITIVE,11275,15212,-3937,NEGATIVE,5917,6445,5866,89,1513,4108
482.txt,29944,26399,3545,POSITIVE,11325,15277,-3952,NEGATIVE,5947,6470,5885,89,1517,4124
484.txt,30042,26486,3556,POSITIVE,11362,15321,-3959,NEGATIVE,5963,6487,5899,89,1520,4138
485.txt,30178,26588,3590,POSITIVE,11411,15382,-3971,NEGATIVE,5988,6511,5917,90,1526,4152
487.txt,30299,26676,3623,POSITIVE,11444,15431,-3987,NEGATIVE,6007,6539,5944,90,1534,4165
488.txt,30392,26755,3637,POSITIVE,11484,15470,-3986,NEGATIVE,6026,6549,5961,90,1538,4177
